Tweet,Geo,Location
"RT @Santanurc1958: West Bengal CM Mamata Banerjee goes from a leg in plaster to crepe bandage in 2 days flat, Netizens ask her about the ‘m…",,
RT @smritiirani: Didi says ‘Khela Hobe’ but West Bengal’s ‘Asol Poriborton’ will be done by PM @narendramodi Ji. Nandigram and West Bengal…,,India
@AnuMathur19 That's clearly sympathy politics for begging votes. @BJP4Bengal,,
"RT @SaketGokhale: How Saradha Scam accused Mukul Roy is living off taxpayer funds in a plush Lutyens bungalow courtesy the BJP:

BJP's Muku…",,"Deoria, India"
"RT @SaketGokhale: How Saradha Scam accused Mukul Roy is living off taxpayer funds in a plush Lutyens bungalow courtesy the BJP:

BJP's Muku…",,
RT @ANI: We have decided on candidates for the first two phases of the election. We will be discussing candidates for the next three phases…,,"Jabalpur, India"
"RT @SaketGokhale: How Saradha Scam accused Mukul Roy is living off taxpayer funds in a plush Lutyens bungalow courtesy the BJP:

BJP's Muku…",,"Abu Dhabi, United Arab Emirate"
"RT @SaketGokhale: How Saradha Scam accused Mukul Roy is living off taxpayer funds in a plush Lutyens bungalow courtesy the BJP:

BJP's Muku…",,
"RT @SaketGokhale: Since 2017, BJP's Mukul Roy has occupied the plush Lutyens bungalow at 181 South Avenue illegally &amp; has been allotted it…",,"Deoria, India"
"RT @iRupND: 150 BJP workers K!ll€d by TMC goons and it's continuing

Now wives of BJP workers are being attacked 

Yes Khela Hoba with live…",,"भारत,Bharat, "
"@RakeshTikaitBKU 

Promoting his new business ,Oppose Modi and be millionaire ! no matter whatever it is ,listen to him!

@ArvindKejriwal
@RahulGandhi 

Shame on

#KishanBill #Jindabaad

#RakeshTikaitExposed 

@BJP4Bengal @BJP4India 
@Shehzad_Ind  @nandkrchoudhry7",,"Bhubaneswar, India"
RT @SaketGokhale: Why is Saradha Scam accused Mukul Roy being allowed to live in a plush Lutyens bungalow meant only for MPs illegally sinc…,,
"RT @TimesNow: People ready for Mamata Banerjee’s 'visarjan': BJP’s @DilipGhoshBJP. | #May2WithTimesNow

https://t.co/P8V9YDqswA",,🇮🇳
"RT @SaketGokhale: How Saradha Scam accused Mukul Roy is living off taxpayer funds in a plush Lutyens bungalow courtesy the BJP:

BJP's Muku…",,"Howrah, West Bengal"
"RT @SaketGokhale: While the CBI continues to summon @AITCofficial leaders in the middle of elections, Saradha Scam prime accused Mukul Roy…",,
RT @KAUSHIK_IArmy: Don't cast your vote on NOTA. In politics 100% perfect is not possible. Choose among the best. Your NOTA vote will favou…,,
"RT @SaketGokhale: Since 2017, BJP's Mukul Roy has occupied the plush Lutyens bungalow at 181 South Avenue illegally &amp; has been allotted it…",,"Abu Dhabi, United Arab Emirate"
RT @sushantsareen: How many languages do you speak @smritiirani and so fluently? Mind boggling really,,varanasi
"RT @SaketGokhale: While the CBI continues to summon @AITCofficial leaders in the middle of elections, Saradha Scam prime accused Mukul Roy…",,"भोपाल, भारत"
"RT @SaketGokhale: Like Saradha scam accused Mukul Roy, another such bungalow has been occupied for years by Bajrang Dal founder Vinay Katiy…",,"Deoria, India"
RT @SaketGokhale: Why is Saradha Scam accused Mukul Roy being allowed to live in a plush Lutyens bungalow meant only for MPs illegally sinc…,,"भोपाल, भारत"
"RT @SaketGokhale: Like Saradha scam accused Mukul Roy, another such bungalow has been occupied for years by Bajrang Dal founder Vinay Katiy…",,"Abu Dhabi, United Arab Emirate"
"@ihirenjoshi1111 @BJP4Bengal Bengal riverfronts are cleaner than those of UP. We don't want ""failed"" Namami Gange Mission.

#BengalRejectsBJP
#NoVoteToBJP",,RAPE CAPITAL OF INDIA
RT @smritiirani: Didi says ‘Khela Hobe’ but West Bengal’s ‘Asol Poriborton’ will be done by PM @narendramodi Ji. Nandigram and West Bengal…,,
"RT @SaketGokhale: How Saradha Scam accused Mukul Roy is living off taxpayer funds in a plush Lutyens bungalow courtesy the BJP:

BJP's Muku…",,"भोपाल, भारत"
"RT @SaketGokhale: While the CBI continues to summon @AITCofficial leaders in the middle of elections, Saradha Scam prime accused Mukul Roy…",,"Abu Dhabi, United Arab Emirate"
"RT @SaketGokhale: HOWEVER, here's the catch: Chairman of the House Committee of the Rajya Sabha can keep extending the duration as he wishe…",,"Deoria, India"
