Tweet,Geo,Location
"RT @MayukhDuke: Candidate list -
ISF= 60% Lower Caste Hindu
LEFT= 70% Youth
TMC= 80% actor actress
BJP= 90% Ex TMC
🚩🚩✊🏾✊🏾🚩🚩
#Vote4SanjuktaM…",,"BHEL,Haridwar"
"@CPIM_WESTBENGAL By today evening, BJP sangis will do Photoshop edit in these images and spread the fake news as this crowd gathered for BJP leaders.....  😂😂😂😂😂
#KickOutAdmkBjp",,
ISF conducted search and arrest operations in Jerusalem Old City; At least 10 Palestinians were arrested,,Jerusalem 
"INTEREST CHECK • HELP RT

@/neoangelco's NEO BEAR

Size: 11 inches
Details: see pics

Free birth cert w/ the name of ur choice + freebies from me!

Base price: 1,500 pesos
ISF: paghahatian ng buyers (will reply here once she replied)
ETA: Indefinite
LSF: shapi c/o, ggx, j&amp;t https://t.co/3tMsO0P1nf",,North Caloocan
"RT @rohithkannan: Kerala CM Pinarayi Vijayans add  comes in Gujrath News paper!!

So @cpimspeak is endorsing the media who stood by BJP at…",,
"WTS/LFB/PRE ODER

[ I'm ] Kim Sejeong 2nd Mini Album 

865 + ISF 

With Poster 
Ktown4u
DOO &amp; DOP : ASAP
UNDER FAST ETA: 2nd week of april

3 slots available https://t.co/8dTconQMgo",,MANILA/PH BASED 🇵🇭
"Rahul Gandhi to start campaigning in Kerala today

CM Pinarayi Vijayan cautions party workers to not show lapses after being lured by opinion polls

CPIM accuses BJP of helping Congress as 3 NDA nominations got cancelled for reasons like missing signatures of JP Nadda

#Kerala",,NewDelhi
"RT @yutakocart: INTEREST CHECK • HELP RT

@/neoangelco's NEO BEAR

Size: 11 inches
Details: see pics

Free birth cert w/ the name of ur cho…",,qc • 23 • she/her
"#SShoppersPasabuy
Pls help rt ☺

BTS BE Deluxe UMS Japan PH GO 💜

💸 2350 + isf + lsf
‼️ w/ random member holo pc
‼️70% dp to secure, bal once it arrives at our JP address
✈ FAST ETA, under EMS
📩 DM for inquiries/to order

Wts wtb lfs lfb army @BTS_PHGOHUNTER https://t.co/IzpoC5uL4u",,"Metro Manila, PH"
@ECISVEEP @rashtrapatibhvn @PMOIndia @AmitShahOffice Is Teekaram Meena (EC)in Kerala a CPIM agent ?The voters list is a big blunder of repeated https://t.co/tza3CSqEiU he doing his job in a right way or doing the job for Pinarayi Vijayan.Tampering Kerala Elections😡,,India
"@AskAnshul Please note that the candidate is from secular CPIM, That was party once said religion is an opium.",,
RT @INCWestBengal: Information of @INCWestBengal candidates with pending criminal cases. https://t.co/ObPt6C8tDR,,
"RT @DrJK_Murali: HINDUS ➡️⚠️: What you see, below, is the pic of Jsus in minister M. M. Mani's home! He was very adamant about his party's…",,Mostly in Suitcase
RT @INCNainta: AnitChoudhary72: @VivekBharti_ @BhavikaKapoor5 @MonikaSinghSays @Jhon__Don @babasonu01 @ssspanday50 @Rajendra_1174 @Pritiyad…,,India
"RT @PurpleStellarPH: WTS/LFB PH GO | #PStellarGO

BTS BE Deluxe Edition Lucky Draw Event
from BTS Japan Official Shop

💰 2350php + ISF + LS…",,Philippines
@INCNainta @AnitChoudhary72 @BhavikaKapoor5 @MonikaSinghSays @Jhon__Don @babasonu01 @ssspanday50 @Pritiyadavvns @SaniyaKhan_TMC @INCIndia @RahulGandhi @IYC @IYCBihar @IYCWestBengal @INCWestBengal @Pritisingh_INC @HarrisButt_INC @BarkhaS37691560 follow back me @INCNainta brother,,"Delhi, Patna"
RT @INCNainta: hemant_samar: @AnitChoudhary72 @VivekBharti_ @BhavikaKapoor5 @MonikaSinghSays @Jhon__Don @babasonu01 @ssspanday50 @Rajendra_…,,India
"RT @daljincorner: #Daljin_GOs | Ph GO | help rt

BTS BE DELUXE EDITION LUCKY DRAW M2U / SOUNDWAVE

2,300 + isf + lsf

☁️ dop : march 26
☁️…",,
"RT @amitmalviya: So the Abbas Siddiqui led CPIM-Congress alliance has left the Nandigram seat for their shadow partner, the TMC.

But even…",,
"Election campaign in Tami Nadu is on full swing with door to door campaigns, volunteer meetings and mass contact programs. CPIM candidates are receiving massive response from the people who have been suffering from the wrong policies of the AIADMK and BJP govts. https://t.co/gkYkQLhWT6",,
"RT @amitmalviya: Hours before the model code of conduct set in, Mamata Banerjee grants Rs 2.60 crore for Furfura Sharif shrine...

But no s…",,
"RT @amitmalviya: While terror groups like JMB and Al Qaeda had been making bombs under Pishi’s watch as Bengal’s Home Minister, now it seem…",,
"RT @bhatia_niraj23: @INCIndia and particularly
@INCWestBengal should run this slide in every rally before any leader commences his/her spee…",,"Bareilly, India"
"RT @praxpriya: Bengal has absorbed a lot of immigrants. If you were the only one to be kicked out, you know what a pathetic character you a…",,
RT @taslimanasreen: I was thrown out of West Bengal by CPIM in 2007 and was prevented from entering West Bengal by TMC since 2009. Will I b…,,
"RT @cpimspeak: Election campaign in Tami Nadu is on full swing with door to door campaigns, volunteer meetings and mass contact programs. C…",,Mangaluru. Madras. Bengaluru.
"2/n So that @MamataOfficial needs to seek support from @CPIM_WESTBENGAL + @INCIndia + ISF combined front. Left &amp; Congress may refrain from extending direct support but if ISF led by Abbas Siddiqi extend support to her &amp; become Dy. CM, it’ll be icing on the cake for @BJP4Bengal.",,"हलीसहर, कोलकाता"
"RT @cpimspeak: Election campaign in Tami Nadu is on full swing with door to door campaigns, volunteer meetings and mass contact programs. C…",,"Kop end, front row."
will not push through :(( https://t.co/k2yZyqsN8o,,"laguna, ph — she/her"
"@cpimspeak : #Election campaign in #TamiNadu is on full swing with door to door campaigns, volunteer meetings and mass contact programs. CPIM candidates are receiving massive response from the people. https://t.co/4C6UNZdjRo",,"New Delhi, India"
"RT @cpimspeak: Election campaign in Tami Nadu is on full swing with door to door campaigns, volunteer meetings and mass contact programs. C…",,Inquilabi Gujarat
"RT @cpimspeak: Election campaign in Tami Nadu is on full swing with door to door campaigns, volunteer meetings and mass contact programs. C…",,"Marxist Kerala, India"
"RT @thomasJins: ""My resignation is due to the fact Communist Party has decided to join with Jana Sangh &amp; RSS in the name of fighting emerge…",,"Hyderabad - Guntur , India"
"if di kaya as a set but individually, i think we can work something out kaso kelangan talaga makuha silang lahat 🙁",,MNL
"@kanekiyamacart php 1,060 po! price includes proxy’s commission rate, korean lsf, isf, and korean bank transfer fees! ☺️",,he/him 🦁
RT @LocalFocus1: ISF conducted search and arrest operations in Jerusalem Old City; At least 10 Palestinians were arrested,,"Jerusalem, Israel"
"3/n In such scenario, @BJP4India will sweep almost all seats in 2024 LS election and if they can create a rift between.@AITCOfficial &amp; ISF and @MamataOfficial govt falls, we shouldn’t be surprised to see LS &amp; Assembly election holding together in 2024. It’ll be BJP all over then.",,"हलीसहर, कोलकाता"
"RT @thomasJins: ""My resignation is due to the fact Communist Party has decided to join with Jana Sangh &amp; RSS in the name of fighting emerge…",,"New Delhi, India"
"RT @Ash_Rokzz23: Left Cong ISF according to some Ediots is cutting BJP votes but see who is getting crowds.

Abbas Siddiqui who is communal…",,"Punsia Bazar, Banka,Bihar"
"Congress is not about gandhi's or any other leaders, it's the idea on which India was built- Priyanka Gandhi
@INCAssam @INCWestBengal @INCIndia",,West Bengal
"hi! in case anyone wants to avail this as a set, you may dm me here or through ayusells 💛 it can be sold individually kaso kelangan makuha lahat :( and i can't guarantee na mura benta sa turtleneck huhu",,
"RT @desibhakthoon: Left - Congress - ISF = Bengal Alliance :

- Congress would be giving candidate against CPM in Santipur.
- Forward Bloc…",,भारतवर्ष।
"@prasunmaitra @MamataOfficial @CPIM_WESTBENGAL @INCIndia @BJP4Bengal For that ISF Needs to win minimum 14 seats out of 37 seats contesting,
Only in case TMC wins 135 seats,,
If case of any deficit, that has to be compensated by ISF?
or if Required Congress may give support?",,"Lagos, Nigeria"
"@aajtak Aaj tak aur NDTV mein ab koi fark nahi raha, yeh bo news channel hai,jab w.bengal mein political killing(BJP 140 BJP worker killed+INC 5+CPIM 30) ho rahi thi to yeh bhand media house silent rahe tab kahan thhey ab aa gaye gyan jhadne bakchod bc.",,
"Reach one each one!
Glimpses of the door to door campaign at Shalboni AC in  support of the #SanjuktaMorcha supported LF nominated CPIM candidate Sushanta Ghosh. Defeat TMC-BJP nexus. #Vote4SanjuktaMorcha
#AmraFirchiBaamraFirche  
#Vote4Left
#BengalNeedsLeft https://t.co/kn4aDlMX4n",,"Kolkata, West Bengal"
"#adijihopeGO BTS BE Deluxe Lucky Draw Event Japan Fan Club (Batch 2)

price: 2450 php + ISF + LSF
DOP: 1000php by march 30; remaining balance apr 20
Fast ETA

pooling - DP basis, first to fill out payment form

form: https://t.co/MPgdDKQX1U",,
"[2ND FULL ALBUM ""ALL YOURS"" RESERVATION]

✅KTOWN4U (1 album) = 760
✅APPLEMUSIC (1 album) = 950
✅APPLEMUSIC (Set) = 2,800

➡️BDO, BPI, Gcash 
➡️Prices: No ISF &amp; LSF
➡️DOP: 04/05 (full or 70%)
04/15 (balance)

DM to reserve/inquire!🌟

#ASTRO #아스트로 #All_Yours #ASTROPHRESERVE https://t.co/ve3t5nrdTD",,National Capital Region
@antiso_am Partha has low vote share than CPIM candidate?,,"পশ্চিমবঙ্গ, ভারত"
"RT @cpimspeak: Election campaign in Tami Nadu is on full swing with door to door campaigns, volunteer meetings and mass contact programs. C…",,भारत
"RT @cpimspeak: Election campaign in Tami Nadu is on full swing with door to door campaigns, volunteer meetings and mass contact programs. C…",,Tirunelveli.
"RT @adijihopeshop: #adijihopeGO BTS BE Deluxe Lucky Draw Event Japan Fan Club (Batch 2)

price: 2450 php + ISF + LSF
DOP: 1000php by march…",,BTS/Loona/Enhypen/Twice
"@perfect360_mr @AyushForIndia Absolute BULLCRAP. If BJP WINS HOW CAN CPIM BE 2nd IN THAT SEAT.
BULLCRAP",,
closed! thank you so much pooo!! sama ko na pooling rank nito mamayang 10pm :) good luck!!!,,
"RT @daljincorner: #Daljin_GOs | Ph GO | help rt

BTS BE DELUXE EDITION LUCKY DRAW M2U / SOUNDWAVE

2,300 + isf + lsf

☁️ dop : march 26
☁️…",,
"RT @CPIM_WESTBENGAL: Reach one each one!
Glimpses of the door to door campaign at Shalboni AC in  support of the #SanjuktaMorcha supported…",,Toronto
no more available slots :),,
@Exposed__2 @MamataOfficial @CPIM_WESTBENGAL @INCIndia @BJP4Bengal Sure it can. Depends on situation.,,"हलीसहर, कोलकाता"
"@AskAnshul Kerala : KT Sulaiman #Haji  a CPIM backed Candidate in Kondotty 
🔻
has H|DDEN the Details of his 2nd #wife ;
19 Years old #Pakistani in his Nomination.

The Harsh #Reality of |SLAM|C State of Kerala  #KeralaAssemblyElections2021 https://t.co/Mk4H7b2bjQ",,Hindustan
"For those asking, yes, the set is with the sleeve",,National Capital Region
"RT @SanjuktaChoudh5: CPIM #Manifesto 

Separate ministry for migrant workers.

TMC #Manifesto

......

BJP #Manifesto

......

Choose your…",,India Or somewhere in ocean
"RT @mahitogf: [pls help rt]

paid the security deposit for this today 🥳 i ordered from @TOKIDOKI_PH hehe

if anyone wants to take the remai…",,ar34 asia
"RT @mahitogf: [pls help rt]

paid the security deposit for this today 🥳 i ordered from @TOKIDOKI_PH hehe

if anyone wants to take the remai…",,ar34 asia
Is @cpimspeak @CPIM_WESTBENGAL contesting WB election. No rally. No interviews. No media briefing. Seems given up on state ruled for 25 yrs. pity cadres. @SitaramYechury,,Mumbai
"Only yesterday we friends were discussing about how hard it'll be to maintain a plush public hospital &amp; today we have this.

@sprourkela will have tough time arresting paid political goons in cases like this, even if  few will be booked for formalities.
https://t.co/MjawUMD54Z",,Bangladesh occupied Odisha.
"RT @officialastroph: [2ND FULL ALBUM ""ALL YOURS"" RESERVATION]

✅KTOWN4U (1 album) = 760
✅APPLEMUSIC (1 album) = 950
✅APPLEMUSIC (Set) = 2,8…",,
"@INCWestBengal FAKE DEGREES, FAKE MARRIAGE, FAKE PROMISES , FAKE SCHEMES, FAKE ADVERTISEMENT  https://t.co/AAX49yJX8J",,
"RT @Santanurc1958: Left - Congress - ISF = Bengal Alliance :

- Congress would be giving candidate against CPM in Santipur.
- Forward Bloc…",,
"RT @officialastroph: [2ND FULL ALBUM ""ALL YOURS"" RESERVATION]

✅KTOWN4U (1 album) = 760
✅APPLEMUSIC (1 album) = 950
✅APPLEMUSIC (Set) = 2,8…",,Republic of the Philippines
"RT @officialastroph: [2ND FULL ALBUM ""ALL YOURS"" RESERVATION]

✅KTOWN4U (1 album) = 760
✅APPLEMUSIC (1 album) = 950
✅APPLEMUSIC (Set) = 2,8…",,
